,marketCap
BIMI,24557604
BIO,23009370112
BIOC,51077312
BIOL,74928784
BIOT,284624992
BIOX,621428672
BIP,17332123648
BIPC,2816142592
BIT,703052928
BITE,249990000
BITF,1216692608
BIVI,129086480
BJ,8293178368
BJRI,791528896
BK,52213686272
BKCC,315887136
BKD,1271164544
BKE,2545208576
BKEP,141820912
BKEPP,348523904
BKH,4101121280
BKI,12161077248
BKN,298794400
BKNG,97780170752
BKR,25972045824
BKSC,112370768
BKT,377879648
BKTI,46034784
BKU,4016993280
BKYI,22366514
BL,7333292032
BLBD,685500224
BLBX,32260348
BLCM,16879578
BLCT,97479088
BLD,9079177216
BLDE,783993728
BLDP,5240066560
BLDR,14118254592
BLE,755557120
BLFS,1694206080
BLI,1644089216
BLIN,20903022
BLK,144763043840
BLKB,4017559552
BLL,31949060096
BLMN,1749036800
BLNK,1817071744
BLPH,33272470
BLRX,130258896
BLSA,188301360
BLTS,281175008
BLU,492742240
BLUA,359660128
BLUE,774298432
BLW,611558656
BLX,680079168
BMA,1857529600
BMBL,7052643328
BME,602674944
BMEA,332556928
BMEZ,2926700800
BMI,3162700032
BMO,72034770944
BMRA,57082208
BMRC,509816000
BMRN,15030611968
BMTC,987297472
BMTX,144617440
BMY,133640683520
BNED,531771648
BNFT,348398400
BNGO,1355182976
BNL,3789653760
BNR,1427602944
BNS,79981232128
BNSO,26715234
BNTC,28110614
BNTX,61578194944
BNY,373563104
BOAC,744946944
BOAS,280024992
BOE,786550784
BOH,3549447168
BOKF,7452433920
BOLT,352588576
BOMN,952054592
BOOM,779115520
BOOT,3613450240
BORR,337612032
BOSC,17814254
BOTJ,75879256
BOX,4203211776
BOXL,104209096
BP,93633372160
BPMC,6720940544
BPMP,1365478784
BPOP,6788424704
BPRN,205723328
BPT,91604840
BPTH,32155938
BPTS,67021720
BPYPP,16917325824
BQ,173323904
BR,20685524992
BRBR,1076065792
BRBS,343402592
BRC,2840562688
BRCN,141373328
BREZ,148530032
BRFS,3382709760
BRG,426082048
BRID,111191168
BRKL,1303894272
BRKR,12649043968
BRKS,8843536384
BRLI,62087760
BRMK,1326392832
BRN,21300444
BRO,18365216768
BROG,1009305472
BRP,4022572032
BRPM,220907808
BRQS,64122760
BRT,353066624
BRTX,21598251008
BRX,7227909120
BRY,768498048
BSA,1027046720
BSAC,8878161920
BSBK,147139072
BSBR,45958709248
BSET,177084560
BSFC,64064196
BSGM,114894040
BSIG,2430234624
BSL,228375424
BSM,2465697024
BSMX,8583988736
BSN,380068128
BSQR,30299820
BSRR,413780000
BST,1395766528
BSTZ,3381281536
BSVN,229489232
BSX,58861195264
BSY,16066420736
BTA,194962944
BTAI,650408000
BTAQ,440991232
BTAQU,465546912
BTB,34873976
BTBT,560980800
BTCM,414911072
BTCS,406450848
BTCY,161938048
BTG,4728515072
BTI,80944553984
BTN,58658140
BTNB,373750016
BTO,836694784
BTRS,1370326784
BTT,1813058560
BTTR,260662576
BTU,1084878208
BTWN,744783232
BTX,331873536
BTZ,1414000768
BUD,119770931200
BUI,542008320
BUR,2435835904
BURL,18190374912
BUSE,1495041920
BV,1743950720
BVH,715507072
BVN,1954430080
BVS,884769920
BVXV,30168506
BW,837727744
BWA,11644619776
BWAC,163070208
BWAY,140482144
BWB,540062272
BWEN,58772760
BWFG,249912704
BWG,209276208
BWMN,189624112
BWMX,912795776
BWXT,5085297152
BX,101938421760
BXC,695900928
BXMT,4900544000
BXMX,1556100608
BXP,18611824640
BXRX,39608404
BY,1038747200
BYD,6750638592
BYFC,198679072
BYM,403578048
BYND,5188864512
BYRN,247313472
BYSI,549837376
BYTS,394095968
BZ,15798025216
BZH,683776128
BZUN,1465938432
C,139959959552
CAAP,971702656
CAAS,122481648
CABA,302629568
CABO,11165723648
CAC,739325184
CACC,10967591936
CACI,6664612352
CADE,3873958400
CAE,8497847808
CAF,467388864
CAG,15714178048
CAH,14651023360
CAI,970256960
CAJ,24011153408
CAKE,2303490048
CAL,1025205376
CALA,72655800
CALB,158261616
CALM,1812174080
CALT,415763808
CALX,4485854720
CAMP,357613152
CAMT,2009221376
CAN,1702668800
CANF,23831976
CANG,653873920
CANO,5339230208
CAPL,758937280
CAPR,77327304
CAR,18870958080
CARA,771891712
CARE,412623648
CARG,4449906688
CARR,48729116672
CARS,887905024
CARV,49349064
CAS,286924992
CASA,493367168
CASH,2080617344
CASI,139111984
CASS,652924864
CASY,7325705728
CAT,113506951168
CATC,642134208
CATO,430182176
CATY,3577957376
CB,87141122048
CBAH,436571616
CBAN,176582320
CBAT,189173056
CBAY,290472320
CBD,1182042496
CBFV,130642256
CBH,197023824
CBIO,51883752
CBL,6397029376
CBNK,382400032
CBOE,14225510400
CBRE,35170140160
CBRL,3400637440
CBSH,8632502272
CBT,3301874176
CBTX,736599296
CBU,3992615936
CBZ,2102987264
CC,5508705280
CCAC,344828960
CCAP,536448128
CCB,531635232
CCBG,469493952
CCCC,2000387072
CCD,808511232
CCEL,94969728
